"","Astrocytes","Neurons","Proliferating","Progs.","RG","Mural","Myeloid","Endothelial","SYMBOL"
"UTP3","0.09965035","0.07056673","0.10897833","0.06217301","0.10663819","0.10003970","0.07280220","0.04120444","UTP3"
"FAM13A-AS1","0.005244755","0.006581353","0.003095975","0.001338362","0.004929346","0.002381898","0.002747253","0.001584786","FAM13A-AS1"
"NFKB1","0.09615385","0.03107861","0.05861713","0.02506388","0.07919816","0.05398968","0.02609890","0.06656101","NFKB1"
"PAPSS1","0.26748252","0.35685558","0.34076367","0.16352354","0.45563589","0.57602223","0.09615385","0.15689382","PAPSS1"
"MND1","0.17482517","0.06508227","0.41320949","0.10086385","0.13128492","0.07741167","0.08516484","0.02377179","MND1"
"SEMA5A","0.09440559","0.12504570","0.23694530","0.10110719","0.44446270","0.31599841","0.01785714","0.02694136","SEMA5A"
"RIOK2","0.07342657","0.08446069","0.11558308","0.06071298","0.10828130","0.12544661","0.10576923","0.04595880","RIOK2"
"PDLIM4","0.40559441","0.18427788","0.27471620","0.12592773","0.36197831","0.55498214","0.06456044","0.14421553","PDLIM4"
"CDC23","0.17132867","0.11444241","0.21527348","0.10074218","0.18337167","0.15760222","0.11538462","0.08082409","CDC23"
"WDR55","0.09265734","0.08007313","0.09494324","0.06326804","0.11633257","0.09130607","0.07280220","0.07448494","WDR55"
"ADRB2","0.022727273","0.001096892","0.006191950","0.004380095","0.001478804","0.001190949","0.001373626","0.000000000","ADRB2"
"SYNPO","0.013986014","0.025594150","0.041073271","0.013261954","0.094972067","0.105994442","0.008241758","0.017432647","SYNPO"
